

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:18, season ID: 151...

Importing data @ 05-06-2016 16:22.
Committing data_import_session ID:18, season ID: 151...
Committed Swimmer, id: 27347.
Committed Badge, id: 55486.
Committed MeetingEntry, id: 6120.
Committed MeetingEntry, id: 6121.
Committed MeetingIndividualResult, id: 436777.
Committed MeetingIndividualResult, id: 436778.
Committed MeetingIndividualResult, id: 436779.
Committed MeetingIndividualResult, id: 436780.
Committed MeetingIndividualResult, id: 436781.
Committed MeetingIndividualResult, id: 436782.
Committed MeetingIndividualResult, id: 436783.
Committed MeetingIndividualResult, id: 436784.
Committed MeetingIndividualResult, id: 436785.
Committed MeetingIndividualResult, id: 436786.
Committed MeetingIndividualResult, id: 436787.
Committed MeetingIndividualResult, id: 436788.
Committed MeetingIndividualResult, id: 436789.
Committed MeetingIndividualResult, id: 436790.
Committed MeetingIndividualResult, id: 436791.
Committed MeetingIndividualResult, id: 436792.
Committed MeetingIndividualResult, id: 436793.
Committed MeetingIndividualResult, id: 436794.
Committed MeetingIndividualResult, id: 436795.
Committed MeetingIndividualResult, id: 436796.
Committed MeetingIndividualResult, id: 436797.
Committed MeetingIndividualResult, id: 436798.
Committed MeetingIndividualResult, id: 436799.
Committed MeetingIndividualResult, id: 436800.
Committed MeetingIndividualResult, id: 436801.
Committed MeetingIndividualResult, id: 436802.
Committed MeetingIndividualResult, id: 436803.
Committed MeetingIndividualResult, id: 436804.
Committed MeetingIndividualResult, id: 436805.
Committed MeetingIndividualResult, id: 436806.
Committed MeetingIndividualResult, id: 436807.
Committed MeetingIndividualResult, id: 436808.
Committed MeetingIndividualResult, id: 436809.
Committed MeetingIndividualResult, id: 436810.
Committed MeetingIndividualResult, id: 436811.
Committed MeetingIndividualResult, id: 436812.
Committed MeetingIndividualResult, id: 436813.
Committed MeetingIndividualResult, id: 436814.
Committed MeetingIndividualResult, id: 436815.
Committed MeetingIndividualResult, id: 436816.
Committed MeetingIndividualResult, id: 436817.
Committed MeetingIndividualResult, id: 436818.
Committed MeetingIndividualResult, id: 436819.
Committed MeetingIndividualResult, id: 436820.
