

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:2, season ID: 132...

Importing data @ 16-02-2015 13:38.
Committing data_import_session ID:2, season ID: 132...
Added new TeamAffiliation, ID:539.
Committed Team, id: 322.
Committed TeamAffiliation, id: 539.
Added new TeamAffiliation, ID:540.
Committed Team, id: 323.
Committed TeamAffiliation, id: 540.
Added new TeamAffiliation, ID:541.
Committed Team, id: 324.
Committed TeamAffiliation, id: 541.
Added new TeamAffiliation, ID:542.
Committed Team, id: 325.
Committed TeamAffiliation, id: 542.
Added new TeamAffiliation, ID:543.
Committed Team, id: 326.
Committed TeamAffiliation, id: 543.
Added new TeamAffiliation, ID:544.
Committed Team, id: 327.
Committed TeamAffiliation, id: 544.
Added new TeamAffiliation, ID:545.
Committed Team, id: 328.
Committed TeamAffiliation, id: 545.
Added new TeamAffiliation, ID:546.
Committed Team, id: 329.
Committed TeamAffiliation, id: 546.
Added new TeamAffiliation, ID:547.
Committed Team, id: 330.
Committed TeamAffiliation, id: 547.
Added new TeamAffiliation, ID:548.
Committed Team, id: 331.
Committed TeamAffiliation, id: 548.
Added new TeamAffiliation, ID:549.
Committed Team, id: 332.
Committed TeamAffiliation, id: 549.
Added new TeamAffiliation, ID:550.
Committed Team, id: 333.
Committed TeamAffiliation, id: 550.
Added new TeamAffiliation, ID:551.
Committed Team, id: 334.
Committed TeamAffiliation, id: 551.
Added new TeamAffiliation, ID:552.
Committed Team, id: 335.
Committed TeamAffiliation, id: 552.
Added new TeamAffiliation, ID:553.
Committed Team, id: 336.
Committed TeamAffiliation, id: 553.
Added new TeamAffiliation, ID:554.
Committed Team, id: 337.
Committed TeamAffiliation, id: 554.
Committed Swimmer, id: 5603.
Committed Swimmer, id: 5604.
Committed Swimmer, id: 5605.
Committed Swimmer, id: 5606.
Committed Swimmer, id: 5607.
Committed Swimmer, id: 5608.
Committed Swimmer, id: 5609.
Committed Swimmer, id: 5610.
Committed Swimmer, id: 5611.
