

--------------------[Phase #3 - COMMIT]--------------------

-- phase_3_commit: session ID:1, season ID: 132...

Importing data @ 16-02-2015 13:05.
Committing data_import_session ID:1, season ID: 132...
Committed MeetingProgram, id: 7342.
Committed MeetingProgram, id: 7343.
Committed MeetingProgram, id: 7344.
Committed MeetingProgram, id: 7345.
Committed MeetingProgram, id: 7346.
Committed MeetingProgram, id: 7347.
Committed MeetingProgram, id: 7348.
Committed MeetingProgram, id: 7349.
Committed MeetingProgram, id: 7350.
Committed MeetingProgram, id: 7351.
Committed MeetingProgram, id: 7352.
Committed MeetingProgram, id: 7353.
Committed MeetingProgram, id: 7354.
Committed MeetingProgram, id: 7355.
Committed MeetingProgram, id: 7356.
Committed MeetingProgram, id: 7357.
Committed MeetingProgram, id: 7358.
Committed MeetingProgram, id: 7359.
Committed MeetingProgram, id: 7360.
Committed MeetingProgram, id: 7361.
Committed MeetingProgram, id: 7362.
Committed MeetingProgram, id: 7363.
Committed MeetingProgram, id: 7364.
Committed MeetingProgram, id: 7365.
Committed MeetingProgram, id: 7366.
Committed MeetingProgram, id: 7367.
Committed MeetingProgram, id: 7368.
Committed MeetingProgram, id: 7369.
Committed MeetingProgram, id: 7370.
Committed MeetingProgram, id: 7371.
Committed MeetingProgram, id: 7372.
Committed MeetingProgram, id: 7373.
Committed MeetingProgram, id: 7374.
Committed MeetingProgram, id: 7375.
Committed MeetingProgram, id: 7376.
Committed MeetingProgram, id: 7377.
Committed MeetingProgram, id: 7378.
Committed MeetingProgram, id: 7379.
Committed MeetingProgram, id: 7380.
Committed MeetingProgram, id: 7381.
Committed MeetingProgram, id: 7382.
Committed MeetingProgram, id: 7383.
Committed MeetingProgram, id: 7384.
Committed MeetingProgram, id: 7385.
Committed MeetingProgram, id: 7386.
Committed MeetingProgram, id: 7387.
Committed MeetingProgram, id: 7388.
Committed MeetingProgram, id: 7389.
Committed MeetingProgram, id: 7390.
Committed MeetingProgram, id: 7391.
Committed MeetingProgram, id: 7392.
Committed MeetingProgram, id: 7393.
Committed MeetingProgram, id: 7394.
Committed MeetingProgram, id: 7395.
Committed MeetingProgram, id: 7396.
Committed MeetingProgram, id: 7397.
Committed MeetingProgram, id: 7398.
Committed MeetingProgram, id: 7399.
Committed MeetingProgram, id: 7400.
Committed MeetingProgram, id: 7401.
Committed MeetingProgram, id: 7402.
Committed MeetingProgram, id: 7403.
Committed MeetingProgram, id: 7404.
Committed MeetingProgram, id: 7405.
Committed MeetingProgram, id: 7406.
Committed MeetingProgram, id: 7407.
Committed MeetingProgram, id: 7408.
Committed MeetingProgram, id: 7409.
Committed MeetingProgram, id: 7410.
Committed MeetingProgram, id: 7411.
Committed MeetingProgram, id: 7412.
Committed MeetingProgram, id: 7413.
Committed MeetingProgram, id: 7414.
Committed MeetingProgram, id: 7415.
Committed MeetingProgram, id: 7416.
Committed MeetingProgram, id: 7417.
Committed MeetingProgram, id: 7418.
Committed MeetingProgram, id: 7419.
Committed MeetingProgram, id: 7420.
Committed MeetingProgram, id: 7421.
Committed MeetingProgram, id: 7422.
Committed MeetingProgram, id: 7423.
Committed MeetingProgram, id: 7424.
Committed MeetingProgram, id: 7425.
Committed MeetingProgram, id: 7426.
Committed MeetingProgram, id: 7427.
Committed MeetingProgram, id: 7428.
Committed MeetingProgram, id: 7429.
Committed MeetingProgram, id: 7430.
Committed MeetingProgram, id: 7431.
Committed MeetingProgram, id: 7432.
Committed MeetingProgram, id: 7433.
Committed MeetingProgram, id: 7434.
Committed MeetingProgram, id: 7435.
Committed MeetingProgram, id: 7436.
Committed MeetingProgram, id: 7437.
Committed MeetingProgram, id: 7438.
Committed MeetingProgram, id: 7439.
Committed MeetingProgram, id: 7440.
Committed MeetingProgram, id: 7441.
Committed MeetingProgram, id: 7442.
Committed MeetingProgram, id: 7443.
Committed MeetingProgram, id: 7444.
Committed MeetingProgram, id: 7445.
Committed MeetingProgram, id: 7446.
Committed MeetingProgram, id: 7447.
Committed MeetingProgram, id: 7448.
Committed MeetingProgram, id: 7449.
Committed MeetingProgram, id: 7450.
Committed MeetingProgram, id: 7451.
Committed MeetingProgram, id: 7452.
Committed MeetingProgram, id: 7453.
Committed MeetingProgram, id: 7454.
Committed MeetingProgram, id: 7455.
Committed MeetingProgram, id: 7456.
Committed MeetingProgram, id: 7457.
Committed MeetingProgram, id: 7458.
Committed MeetingProgram, id: 7459.
Committed MeetingProgram, id: 7460.
Committed MeetingProgram, id: 7461.
Committed MeetingProgram, id: 7462.
Committed MeetingProgram, id: 7463.
Committed MeetingProgram, id: 7464.
Committed MeetingProgram, id: 7465.
Committed MeetingProgram, id: 7466.
Committed MeetingProgram, id: 7467.
Committed MeetingProgram, id: 7468.
Committed MeetingProgram, id: 7469.
Committed MeetingProgram, id: 7470.
Committed MeetingProgram, id: 7471.
Committed MeetingProgram, id: 7472.
Committed MeetingProgram, id: 7473.
Committed MeetingProgram, id: 7474.
Committed MeetingProgram, id: 7475.
Committed MeetingProgram, id: 7476.
Committed MeetingProgram, id: 7477.
Committed MeetingProgram, id: 7478.
Committed MeetingProgram, id: 7479.
Committed MeetingProgram, id: 7480.
Committed MeetingProgram, id: 7481.
Committed MeetingProgram, id: 7482.
Committed MeetingProgram, id: 7483.
Added new TeamAffiliation, ID:509.
Committed Team, id: 292.
Committed TeamAffiliation, id: 509.
Added new TeamAffiliation, ID:510.
Committed Team, id: 293.
Committed TeamAffiliation, id: 510.
Added new TeamAffiliation, ID:511.
Committed Team, id: 294.
Committed TeamAffiliation, id: 511.
Added new TeamAffiliation, ID:512.
Committed Team, id: 295.
Committed TeamAffiliation, id: 512.
Added new TeamAffiliation, ID:513.
Committed Team, id: 296.
Committed TeamAffiliation, id: 513.
Added new TeamAffiliation, ID:514.
Committed Team, id: 297.
Committed TeamAffiliation, id: 514.
Added new TeamAffiliation, ID:515.
Committed Team, id: 298.
