id;date;meeting;code;import_data_file;effective_date;days_to_move
13238;24-11-2013;V MEMORIAL ANDREA CORDA;corda;ris20131124corda.txt;;
13266;08-02-2014;REGIONALI TOSCANA 2014;regtoscana;ris20140208regtoscana.txt;;
13279;08-03-2014;XX TROFEO CITTA' DI FIRENZE;firenze;ris20140308firenze.txt;;
13290;23-03-2014;III COPPA CITTA' DI FOLLONICA;follonica;ris20140323follonica.txt;;
13297;30-03-2014;VII TROFEO ILARIA DEL CARRETTO;lucca;ris20140330lucca.txt;;
13299;06-04-2014;IV MEETING NUOTO NAPOLI;barra;ris20140406barra.txt;;
13220;17-05-2014;XIII MEETING DELLA VALDERA;pontedera;ris20140517pontedera.txt;;
13318;18-05-2014;VI TROFEO COSTA SMERALDA;olbia;ris20140518olbia.txt;;
13219;24-05-2014;X TROFEO SERGIO FAGGI;prato;ris20140524prato.txt;;
13211;24-06-2014;CAMPIONATI ITALIANI FIN 2014;italiani;ris20140624italiani.txt;;
